"545","Giants Gaming"
"546","H2k-Gaming"
"547","Team ROCCAT"
"548","G2 Esports"
"549","G2 Esports"
"550","Team ROCCAT"
"551","Splyce"
"552","Splyce"
"553","Team ROCCAT"
"554","Fnatic"
"555","G2 Esports"
"556","Fnatic"
"557","Origen"
"558","H2k-Gaming"
"559","H2k-Gaming"
"560","Team Vitality"
"561","FC Schalke 04"
"562","H2k-Gaming"
"563","Fnatic"
"564","G2 Esports"
"565","G2 Esports"
"566","Team Vitality"
"567","Team ROCCAT"
"568","Unicorns Of Love"
"569","Splyce"
"570","Unicorns Of Love"
"571","Fnatic"
"572","Fnatic"
"573","FC Schalke 04"
"574","Team Vitality"
"575","FC Schalke 04"
"576","Splyce"
"577","G2 Esports"
"578","H2k-Gaming"
"579","Team ROCCAT"
"580","G2 Esports"
"581","Energy Pacemaker.All"
"582","Energy Pacemaker.All"
"583","LGD Gaming"
"584","LGD Gaming"
"585","Snake Esports"
"586","Team WE"
"587","Team WE"
"588","Qiao Gu Reapers"
"589","Vici Gaming"
"590","Vici Gaming"
"591","EDward Gaming"
"592","EDward Gaming"
"593","Royal Never Give Up"
"594","Invictus Gaming"
"595","Royal Never Give Up"
"596","LGD Gaming"
"597","LGD Gaming"
"598","Snake Esports"
"599","Team WE"
"600","Snake Esports"
"601","Vici Gaming"
"602","Oh My God"
"603","Vici Gaming"
"604","Royal Never Give Up"
"605","Royal Never Give Up"
"606","Royal Never Give Up"
"607","Royal Never Give Up"
"608","Invictus Gaming"
"609","Invictus Gaming"
"610","EDward Gaming"
"611","EDward Gaming"
"612","LGD Gaming"
"613","LGD Gaming"
"614","Snake Esports"
"615","Snake Esports"
"616","Energy Pacemaker.All"
"617","Qiao Gu Reapers"
"618","Qiao Gu Reapers"
"619","Masters 3"
"620","Oh My God"
"621","Oh My God"
"622","Invictus Gaming"
"623","EDward Gaming"
"624","EDward Gaming"
"625","Royal Never Give Up"
"626","Snake Esports"
"627","Snake Esports"
"628","Energy Pacemaker.All"
"629","Energy Pacemaker.All"
"630","Qiao Gu Reapers"
"631","Team WE"
"632","Team WE"
"633","Snake Esports"
"634","Snake Esports"
"635","LGD Gaming"
"636","LGD Gaming"
"637","Energy Pacemaker.All"
"638","Royal Never Give Up"
"639","Royal Never Give Up"
"640","Vici Gaming"
"641","Oh My God"
"642","Oh My God"
"643","EDward Gaming"
"644","EDward Gaming"
"645","Team WE"
"646","Energy Pacemaker.All"
"647","Team WE"
"648","LGD Gaming"
"649","LGD Gaming"
"650","Invictus Gaming"
"651","Invictus Gaming"
"652","Vici Gaming"
"653","EDward Gaming"
"654","EDward Gaming"
"655","Vici Gaming"
"656","Vici Gaming"
"657","Snake Esports"
"658","EDward Gaming"
"659","EDward Gaming"
"660","Team WE"
"661","Oh My God"
"662","Team WE"
"663","Royal Never Give Up"
"664","Masters 3"
"665","Royal Never Give Up"
"666","Qiao Gu Reapers"
"667","Qiao Gu Reapers"
"668","Invictus Gaming"
"669","LGD Gaming"
"670","LGD Gaming"
"671","Vici Gaming"
"672","Vici Gaming"
"673","EDward Gaming"
"674","EDward Gaming"
"675","Royal Never Give Up"
"676","Royal Never Give Up"
"677","Masters 3"
"678","Masters 3"
"679","Invictus Gaming"
"680","Team WE"
"681","Team WE"
"682","Qiao Gu Reapers"
"683","Qiao Gu Reapers"
"684","LGD Gaming"
"685","LGD Gaming"
"686","Oh My God"
"687","Snake Esports"
"688","Oh My God"
"689","Team WE"
"690","Team WE"
"691","Royal Never Give Up"
"692","Royal Never Give Up"
"693","Oh My God"
"694","LGD Gaming"
"695","Oh My God"
"696","Qiao Gu Reapers"
"697","Qiao Gu Reapers"
"698","Oh My God"
"699","Oh My God"
"700","Energy Pacemaker.All"
"701","Invictus Gaming"
"702","Invictus Gaming"
"703","Snake Esports"
"704","EDward Gaming"
"705","Snake Esports"
"706","Vici Gaming"
"707","Vici Gaming"
"708","Hyper Youth Gaming"
"709","Hyper Youth Gaming"
"710","Royal Never Give Up"
"711","Royal Never Give Up"
"712","Invictus Gaming"
"713","Invictus Gaming"
"714","Snake Esports"
"715","Snake Esports"
"716","EDward Gaming"
"717","Team WE"
"718","EDward Gaming"
"719","Qiao Gu Reapers"
"720","Vici Gaming"
"721","Qiao Gu Reapers"
"722","Oh My God"
"723","Oh My God"
"724","Invictus Gaming"
"725","Royal Never Give Up"
"726","Royal Never Give Up"
"727","Snake Esports"
"728","Snake Esports"
"729","Energy Pacemaker.All"
"730","Energy Pacemaker.All"
"731","Qiao Gu Reapers"
"732","Qiao Gu Reapers"
"733","Vici Gaming"
"734","Masters 3"
"735","Vici Gaming"
"736","Team WE"
"737","Team WE"
"738","EDward Gaming"
"739","EDward Gaming"
"740","Qiao Gu Reapers"
"741","Qiao Gu Reapers"
"742","LGD Gaming"
"743","LGD Gaming"
"744","Team WE"
"745","Team WE"
"746","Vici Gaming"
"747","Vici Gaming"
"748","EDward Gaming"
"749","EDward Gaming"
"750","Invictus Gaming"
"751","Invictus Gaming"
"752","Royal Never Give Up"
"753","Snake Esports"
"754","Snake Esports"
"755","Team WE"
"756","Masters 3"
"757","Masters 3"
"758","EDward Gaming"
"759","EDward Gaming"
"760","Invictus Gaming"
"761","Vici Gaming"
"762","Invictus Gaming"
"763","Oh My God"
"764","Oh My God"
"765","Royal Never Give Up"
"766","Royal Never Give Up"
"767","EDward Gaming"
"768","EDward Gaming"
"769","Team WE"
"770","Team WE"
"771","Qiao Gu Reapers"
"772","Qiao Gu Reapers"
"773","Snake Esports"
"774","Energy Pacemaker.All"
"775","Snake Esports"
"776","Invictus Gaming"
"777","Invictus Gaming"
"778","Royal Never Give Up"
"779","Royal Never Give Up"
"780","Qiao Gu Reapers"
"781","Qiao Gu Reapers"
"782","Masters 3"
"783","Masters 3"
"784","Snake Esports"
"785","LGD Gaming"
"786","Snake Esports"
"787","Energy Pacemaker.All"
"788","Energy Pacemaker.All"
"789","Qiao Gu Reapers"
"790","Qiao Gu Reapers"
"791","Oh My God"
"792","Oh My God"
"793","Invictus Gaming"
"794","Hyper Youth Gaming"
"795","Royal Never Give Up"
"796","Vici Gaming"
"797","Royal Never Give Up"
"798","Qiao Gu Reapers"
"799","Qiao Gu Reapers"
"800","Team WE"
"801","Team WE"
"802","Energy Pacemaker.All"
"803","Vici Gaming"
"804","Vici Gaming"
"805","Royal Never Give Up"
"806","Royal Never Give Up"
"807","Invictus Gaming"
"808","Newbee"
"809","Invictus Gaming"
"810","EDward Gaming"
"811","EDward Gaming"
"812","Game Talents"
"813","Game Talents"
"814","Saint Gaming"
"815","Royal Never Give Up"
"816","Royal Never Give Up"
"817","LGD Gaming"
"818","LGD Gaming"
"819","Vici Gaming"
"820","Vici Gaming"
"821","EDward Gaming"
"822","EDward Gaming"
"823","Snake Esports"
"824","Saint Gaming"
"825","Snake Esports"
"826","Vici Gaming"
"827","Vici Gaming"
"828","Oh My God"
"829","Royal Never Give Up"
"830","LGD Gaming"
"831","Royal Never Give Up"
"832","Oh My God"
"833","Oh My God"
"834","Royal Never Give Up"
"835","Vici Gaming"
"836","Vici Gaming"
"837","LGD Gaming"
"838","Team WE"
"839","LGD Gaming"
"840","Snake Esports"
"841","Snake Esports"
"842","Invictus Gaming"
"843","Invictus Gaming"
"844","EDward Gaming"
"845","EDward Gaming"
"846","LGD Gaming"
"847","LGD Gaming"
"848","Team WE"
"849","Team WE"
"850","I May"
"851","Game Talents"
"852","Game Talents"
"853","Invictus Gaming"
"854","Invictus Gaming"
"855","Saint Gaming"
"856","Snake Esports"
"857","Snake Esports"
"858","Invictus Gaming"
"859","Newbee"
"860","Saint Gaming"
"861","Newbee"
"862","EDward Gaming"
"863","EDward Gaming"
"864","Royal Never Give Up"
"865","Royal Never Give Up"
"866","Vici Gaming"
"867","Team WE"
"868","Oh My God"
"869","Team WE"
"870","I May"
"871","I May"
"872","Snake Esports"
"873","Game Talents"
"874","Snake Esports"
"875","EDward Gaming"
"876","EDward Gaming"
"877","Team WE"
"878","Royal Never Give Up"
"879","Team WE"
"880","I May"
"881","Oh My God"
"882","I May"
"883","Snake Esports"
"884","Vici Gaming"
"885","Snake Esports"
"886","EDward Gaming"
"887","EDward Gaming"
"888","LGD Gaming"
"889","LGD Gaming"
"890","Oh My God"
"891","Oh My God"
"892","Royal Never Give Up"
"893","Royal Never Give Up"
"894","Team WE"
"895","Team WE"
"896","I May"
"897","I May"
"898","EDward Gaming"
"899","EDward Gaming"
"900","LGD Gaming"
"901","Vici Gaming"
"902","Vici Gaming"
"903","Saint Gaming"
"904","Saint Gaming"
"905","Newbee"
"906","LGD Gaming"
"907","Newbee"
"908","EDward Gaming"
"909","EDward Gaming"
"910","Royal Never Give Up"
"911","Royal Never Give Up"
"912","Vici Gaming"
"913","Vici Gaming"
"914","Oh My God"
"915","Oh My God"
"916","I May"
"917","I May"
"918","Invictus Gaming"
"919","Royal Never Give Up"
"920","Royal Never Give Up"
"921","Game Talents"
"922","Team WE"
"923","Team WE"
"924","Royal Never Give Up"
