Team Liquid,NA,Ryze,43
Team Liquid,NA,Braum,43
Team Liquid,NA,Draven,43
Renegades,NA,Nidalee,43
Renegades,NA,Bard,43
Renegades,NA,Poppy,43
Immortals,NA,Poppy,44
Immortals,NA,Corki,44
Immortals,NA,Gangplank,44
Cloud9,NA,Soraka,44
Cloud9,NA,Lulu,44
Cloud9,NA,Janna,44
Counter Logic Gaming,NA,Zilean,45
Counter Logic Gaming,NA,Nidalee,45
Counter Logic Gaming,NA,Lulu,45
Team SoloMid,NA,Poppy,45
Team SoloMid,NA,Gangplank,45
Team SoloMid,NA,Corki,45
Echo Fox,NA,Ryze,46
Echo Fox,NA,Zed,46
Echo Fox,NA,Nidalee,46
NRG Esports,NA,Alistar,46
NRG Esports,NA,Kalista,46
NRG Esports,NA,Thresh,46
Immortals,NA,Poppy,47
Immortals,NA,Corki,47
Immortals,NA,Graves,47
Team Dignitas,NA,Nidalee,47
Team Dignitas,NA,Lulu,47
Team Dignitas,NA,Fiora,47
Team Impulse,NA,Syndra,48
Team Impulse,NA,Kalista,48
Team Impulse,NA,Lulu,48
Team SoloMid,NA,Poppy,48
Team SoloMid,NA,Gangplank,48
Team SoloMid,NA,Nidalee,48
Cloud9,NA,Elise,49
Cloud9,NA,Lulu,49
Cloud9,NA,Poppy,49
Team Liquid,NA,Nidalee,49
Team Liquid,NA,Gangplank,49
Team Liquid,NA,Jhin,49
NRG Esports,NA,Ryze,50
NRG Esports,NA,Kalista,50
NRG Esports,NA,Graves,50
Counter Logic Gaming,NA,Gangplank,50
Counter Logic Gaming,NA,Poppy,50
Counter Logic Gaming,NA,Nidalee,50
Echo Fox,NA,Ryze,51
Echo Fox,NA,Braum,51
Echo Fox,NA,Zed,51
Renegades,NA,Nidalee,51
Renegades,NA,LeBlanc,51
Renegades,NA,Twisted Fate,51
Team Dignitas,NA,Gangplank,52
Team Dignitas,NA,Alistar,52
Team Dignitas,NA,Fiora,52
Team Impulse,NA,Poppy,53
Team Impulse,NA,Fiora,53
Team Impulse,NA,Gangplank,53
Counter Logic Gaming,NA,Nidalee,53
Counter Logic Gaming,NA,Graves,53
Counter Logic Gaming,NA,Alistar,53
Renegades,NA,Gangplank,54
Renegades,NA,Twisted Fate,54
Renegades,NA,Graves,54
Team SoloMid,NA,Poppy,54
Team SoloMid,NA,Zilean,54
Team SoloMid,NA,Lissandra,54
Cloud9,NA,Corki,55
Cloud9,NA,Elise,55
Cloud9,NA,Graves,55
NRG Esports,NA,Alistar,55
NRG Esports,NA,Nidalee,55
NRG Esports,NA,Ryze,55
Immortals,NA,Poppy,56
Immortals,NA,Nidalee,56
Immortals,NA,Graves,56
Team Liquid,NA,Quinn,56
Team Liquid,NA,Gangplank,56
Team Liquid,NA,Fiora,56
NRG Esports,NA,Alistar,57
NRG Esports,NA,Lulu,57
NRG Esports,NA,Ryze,57
Team Impulse,NA,Gangplank,57
Team Impulse,NA,Poppy,57
Team Impulse,NA,Janna,57
Team SoloMid,NA,Gangplank,58
Team SoloMid,NA,Lissandra,58
Team SoloMid,NA,Nidalee,58
Echo Fox,NA,Corki,58
Echo Fox,NA,Lulu,58
Echo Fox,NA,Quinn,58
Counter Logic Gaming,NA,Quinn,59
Counter Logic Gaming,NA,Lissandra,59
Counter Logic Gaming,NA,Gangplank,59
Immortals,NA,Corki,59
Immortals,NA,Poppy,59
Immortals,NA,Lulu,59
Cloud9,NA,Kalista,60
Cloud9,NA,Elise,60
Cloud9,NA,Corki,60
Renegades,NA,Alistar,60
Renegades,NA,Graves,60
Renegades,NA,Gangplank,60
Team Liquid,NA,Elise,61
Team Liquid,NA,Kindred,61
Team Liquid,NA,Fiora,61
Team Dignitas,NA,Ryze,61
Team Dignitas,NA,Gangplank,61
Team Dignitas,NA,Corki,61
Counter Logic Gaming,NA,Kalista,62
Counter Logic Gaming,NA,Tahm Kench,62
Counter Logic Gaming,NA,Graves,62
Renegades,NA,Lissandra,62
Renegades,NA,Poppy,62
Renegades,NA,Fiora,62
Echo Fox,NA,Corki,63
Echo Fox,NA,Poppy,63
Echo Fox,NA,Lissandra,63
Immortals,NA,Tahm Kench,63
Immortals,NA,Lulu,63
Immortals,NA,Graves,63
Team Dignitas,NA,Ryze,64
Team Dignitas,NA,Tahm Kench,64
Team Dignitas,NA,Alistar,64
Cloud9,NA,Lulu,64
Cloud9,NA,Elise,64
Cloud9,NA,Bard,64
NRG Esports,NA,Lulu,65
NRG Esports,NA,Corki,65
NRG Esports,NA,Lissandra,65
Team SoloMid,NA,Gangplank,65
Team SoloMid,NA,Alistar,65
Team SoloMid,NA,Tahm Kench,65
Team Liquid,NA,Fiora,66
Team Liquid,NA,Gangplank,66
Team Liquid,NA,Nidalee,66
Team Impulse,NA,Bard,66
Team Impulse,NA,Caitlyn,66
Team Impulse,NA,Lulu,66
Immortals,NA,Kalista,67
Immortals,NA,Tahm Kench,67
Immortals,NA,Lulu,67
Renegades,NA,Fiora,67
Renegades,NA,Janna,67
