2016 TCL Winter Season,,Dark Passage,TCL
2016 TCL Summer Season,,HWA Gaming,TCL
2016 TCL Winter Season,,HWA Gaming,TCL
2016 TCL Winter Season,,NumberOne Esports,TCL
2016 TCL Summer Season,,SuperMassive eSports,TCL
2016 TCL Winter Season,,SuperMassive eSports,TCL
2016 TCL Summer Season,,Team AURORA,TCL
2016 TCL Winter Season,,Team AURORA,TCL
2016 TCL Summer Season,,Team Turquality,TCL
2016 TCL Winter Season,,Team Turquality,TCL
2016 TCL Summer Season,,Crew e-Sports Club,TCL
2016 OPL Split 1,,Avant Garde,OPL
2016 OPL Split 2,,Avant Garde,OPL
2016 OPL Split 1,,Dire Wolves,OPL
2016 OPL Split 2,,Dire Wolves,OPL
2016 OPL Split 1,,Hellions e-Sports Club,OPL
2016 OPL Split 2,,Hellions e-Sports Club,OPL
2016 OPL Split 1,,Infernum Gaming,OPL
2016 OPL Split 1,,Legacy Esports,OPL
2016 OPL Split 2,,Legacy Esports,OPL
2016 OPL Split 1,,Sin Gaming,OPL
2016 OPL Split 2,,Sin Gaming,OPL
2016 OPL Split 1,,Chiefs Esports Club,OPL
2016 OPL Split 2,,Chiefs Esports Club,OPL
2016 OPL Split 1,,Trident Esports,OPL
2016 OPL Split 2,,Abyss Esports,OPL
2016 OPL Split 2,,Tainted Minds,OPL
2016 LCL Spring Season,,Hard Random,LCL
2016 LCL Summer Season,,Natus Vincere.CIS,LCL
2016 LCL Spring Season,,Natus Vincere.CIS,LCL
2016 LCL Summer Season,,RoX,LCL
2016 LCL Spring Season,,RoX,LCL
2016 LCL Spring Season,,Team Differential,LCL
2016 LCL Summer Season,,Team Empire,LCL
2016 LCL Spring Season,,Team Empire,LCL
2016 LCL Summer Season,,Team Just,LCL
2016 LCL Spring Season,,Team Just,LCL
2016 LCL Summer Season,,Vaevictis eSports,LCL
2016 LCL Spring Season,,Vaevictis eSports,LCL
2016 LCL Summer Season,,Vega Squadron,LCL
2016 LCL Spring Season,,Vega Squadron,LCL
2016 World Championship,,Albus NoX Luna,LCL
2016 LCL Summer Season,,Albus NoX Luna,LCL
2016 LCL Summer Season,,Gambit Esports,LCL
