MMD,Yau Li-Hung (游立宏),Top,Taiwan
Rins,Shen Po-Ju (沈伯儒),Top,Taiwan
Karsa,Hung Hau-Hsuan (洪浩軒),Jungle,Taiwan
Maple (Huang Yi-Tang),Huang Yi-Tang (黃熠棠),Mid,Taiwan
Breeze,Huang Chien-Yuan (黃建源),AD,Taiwan
NL,Hsiung Wen-An (熊汶銨),AD,Taiwan
SwordArt,Hu Shuo-Chieh (胡碩傑),Support,Taiwan
MapleSnow,Yang Yu-Wei (楊育瑋),Top,Taiwan
DinTer,Shiue Hong-Wei (薛弘偉),Jungle,Taiwan
Chillyz,Gong Nok Hin (江諾軒),Mid,Hong Kong
Rokenia,Jun Young-dae (전영대),Mid,South Korea
MarS,Hsu Chia-Chun (許家峻),Mid,Taiwan
GodKwai,Cheung Ho Wan (張皓雲),AD,Hong Kong
Olleh,Kim Joo-sung (김주성),Support,South Korea
BoBo (Wang You-Lin),Wang You-Lin (王佑霖),Top,Taiwan
Taizan,Lin Jing-Jia (鄭偉祥),Jungle,Taiwan
Apex (Hsieh Chia-Wei),Hsieh Chia-Wei (謝家維),Mid,Taiwan
Dee,Chen Jun-Dee (陳駿迪),AD,Taiwan
Dreamer,Ceng Jian-Hong (曾建泓),Support,Taiwan
Julian,Fei Chuan-Yuan (費雋元),Top,Taiwan
Ninuo,Huang Jin-Long (黃金隆),Top,Taiwan
Wulala,Liu Sheng-Wei (柳勝瑋),Jungle,Taiwan
M1ssion,Chen Hsiao-Hsien (陳孝銜),Mid,Taiwan
Payne,Tai Hao-Chuan (戴浩全),AD,Taiwan
CorGi,Cheng Pin-Lun (程品倫),AD,Taiwan
SkuLL,Gary Ng (吳國玟),Support,Hong Kong
Kaiwing,Ling Kai Wing (凌啟榮),Support,Hong Kong
Morning,Chen Kuan-Ting (陳冠廷),Top,Taiwan
Yue,Lu Tzu-Hsien (盧子賢),Top,Taiwan
REFRA1N,Chen Kuan-Ting (陳冠廷),Jungle,Taiwan
Achie,Chen Chen-Chi (陳振齊),Jungle,Taiwan
FoFo,Chu Chun-Lan (朱駿嵐),Mid,Taiwan
Bebe (Chang Bo-Wei),Chang Bo-Wei (張博為),AD,Taiwan
Lilv,Chen Chin-Han (陳縉翰),AD,Taiwan
Jay,Li Chieh (李杰),Support,Taiwan
BayBay,Wang You-Chun (王佑軍),Jungle,Taiwan
Mist,Hsu Kai-Yueh (許凱悅),Top,Taiwan
Pony,Mo Ka Wah (巫家華),Jungle,Hong Kong
SwordArT,Hu Shuo-Chieh (胡碩傑),Support,Taiwan
XiaoLiang,Wu Liang-Te (吳亮德),Top,Taiwan
Wind (Lai Chap Yin),Lai Chap Yin (賴集賢),Jungle,Hong Kong
Gear,Lam Kwok Wa (林國華),Mid,Hong Kong
Raison,Jeong Soo-bin (정수빈),AD,South Korea
BeBe (Chang Bo-Wei),Chang Bo-Wei (張博為),AD,Taiwan
Vayn3z,Chen Han (陳翰),Top,Taiwan
PaSa,Lo Hung Sing (羅鴻盛),Mid,Hong Kong
Breaker,Shih Yueh-Ting (施岳廷),AD,Taiwan
K,Ko Kai-Sheng (柯凱盛),Top/Jungle/Mid,Taiwan
Benny (Lien Hsiu-Chi),Lien Hsiu-Chi (連修琪),Jungle,Taiwan
Zor,Wu Chu-Yung (吳居勇),Mid,Taiwan
Rain (Liu Min-Hung),Liu Min-Hung (劉玟宏),Support,Taiwan
InTreso,Sanpett Marat,Top,Thailand
Sek,Jakkid Kinbai,Top,Thailand
007x,Chayut Suebka,Jungle,Thailand
G4,Nuttapong Menkasikan,Mid,Thailand
Lloyd,Juckkirsts Kongubon,AD,Thailand
Moss,Sorawat Boonphrom,Support,Thailand
JLC,Jaiby Paglingayen,Top,Philippines
SuEz,Zeus Lee,Jungle,Philippines
Light,Roybie Segovia,Mid,Philippines
H4T3,Josef Adrian Cabero,AD,Philippines
Poysanity,Jesse Florence Hieras,Support,Philippines
Oceans11,Tobias Randy Varianto,Top,Indonesia
RubeN,Ruben Sutanto,Top,Indonesia
Phoenix (Yehezkiel Patric),Yehezkiel Patric,Jungle,Indonesia
Banana (Brian Hammock),Brian Hammock,Mid,Indonesia
TheChupper,Kenny Marcelino,AD,Indonesia
Andree,Andre Culham,Support,Indonesia
13Ghost,Jasper Tan Kah Guan,Top,Malaysia
Qaspiel,Eric Sia Sze Pin,Jungle,Malaysia
OzoraVeki,Poon Kok Sing (潘国昇),Mid,Malaysia
CoolKitty,Joseph Lim Ken Zhen,AD,Malaysia
SOUPerior,Calvin Yang Quok Vern,Support,Malaysia
Row,Hoàng Duy Phương,Top,Vietnam
Jinkey,Trần Công Cam,Jungle,Vietnam
Lovida,Mai Việt Long,Mid,Vietnam
Warzone,Đoàn Văn Ngọc Sơn,Mid,Vietnam
Celebrity,Nguyễn Phước Long Hiệp,AD,Vietnam
Tsu,Lê Anh Duy,Support,Vietnam
Revive (Daniel Tan),Daniel Tan,Top,Singapore
Zancazor,Luqman Hakim,Jungle,Singapore
Arykelic,Dominic Loh,Mid,Singapore
PandaPaws,David Chua,Mid,Singapore
Mexilew,Martin Lew,AD,Singapore
Arkane,Poongundran Ranganathan,Support,Singapore
Kanon,Khenn Pragale,Top,Philippines
Tamsu,John Somollo,Jungle,Philippines
KarlCulated,Karl Duazo,Mid,Philippines
Jenvi,Jenel Hapitana,AD,Philippines
EndlessACE,Anjo Alzate,Support,Philippines
Whatthejes,Soragit Buranathanasin,Support,Thailand
Pokka,Hartanto Pokka,Mid,Indonesia
CO4,Adrian Leng Seet Hing,AD,Malaysia
HanYiAn,Trần Quang Hiệp,Jungle,Vietnam
Ly4ly4ly4,Lim Yang,Top,Singapore
BBTY,Wayne Chua Kim Han,Jungle,Singapore
